condition_id,category,classification,P_i1,S_i,G_i_label,operative_proposed,operative_final,mechanical_final_correct_a1,legacy_final_correct,legacy_initial_correct,stratum,volume_gamma,G_i_source,question_text
0x2a1238bbe16f269a30ecb73ed3321909a278ad41388f1aabe3322a3f927e6048,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0x2cf3a03461a0e9aea6e854645447d33c9a364f4d98f749c197297afb65feb9f9,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0x3254f16fb7fbf7c8b00ff7507fef145d69aaca832967446fb8090c3f5de0c9f4,1_uncorrected_oracle_error,uncorrected_oracle_error,No,No,Yes,No,No,False,False,False,frozen,1938734.608911,frozen,Will Trump issue an executive order on Day 11?
0x398a3824dbdcb319eb186d48a772a403b795daba4c9f648864289a885d0720d9,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,319.705153,two_benchmark,Series: LNG Esports Kill Handicap (-15.5)
0x40267dc73def14f67cd9479e544ce206c33e470b2917fd64ef96e5e5c8daabcb,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,42452.748625,two_benchmark,ATP Washington D.C – Shelton vs. Tiafoe
0x42b1922e8f436430a99511ad0a8029fd84a62d8bc91ac52b22455399ce598152,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,843458.400258,frozen,Will Trump audit Ukraine aid before May?
0x4728a4bbf16c22a1278e37e6244e2bf1d5899c97274442f803030b3018c32795,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,292420.820921,frozen,Will Qatar gift Trump a new Air Force One in May?
0x49bd43e32ee3c160c7abfee4fa6dbd6c0c2a4fa3ae3dd778a88f0df47481de3f,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,60299.331744,two_benchmark,Big Bash League: Hobart Hurricanes vs Brisbane Heat (Game 1)
0x49e2cf8016030545deea62fb75d76060b452e73bd7cabb950511c9e34f662c53,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,301372.948153,frozen,Pacers vs. Spurs
0x49f8d17f0444e8097137802a534e3b7fd971b5d780fbc9bbdb1cf3da27741b75,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,1160.704,two_benchmark,Counter-Strike: KZG vs Mindfreak (BO3)
0x4cae2e5e27291f2bbd8b3f08320c5b6933bf714e20fc610f43807af4631fec84,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,211.101,two_benchmark,NRFI: Cleveland Guardians vs. Minnesota Twins
0x4cf929462f40effcd9cc16f0aec875f7d0b0c9e07575aeade48d27b01d81ae2a,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,,two_benchmark,
0x50e31313ece756d4f0fef64dff1555f26c9f92e8c0973f1e0d782264b3035e19,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,,two_benchmark,
0x52f35c752740063b29274a319349fd2e9147e5e84e86da101a00bf5c66b55ad7,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,,two_benchmark,
0x56f88815c77017385f7bcf525b4db31c4a95074f3a23aba2b0db6bbf614bd6fe,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,500.0,two_benchmark,NBA: Golden State Warriors vs. Sacramento Kings 2023-04-28
0x573747eb0c154f2d697a940b764a19b267b7f8af6cfed0a0e6c5c50f785ef00b,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,102474.601656,two_benchmark,Manchester United FC vs. Manchester City FC: O/U 2.5
0x596b23bcb24180c0525cb5c85c536601abb008132aac428215104ed1906ad58e,1_uncorrected_oracle_error,uncorrected_oracle_error,No,No,Yes,No,No,False,False,False,frozen,876631.710226,frozen,U.S. refuels Israeli jets for strikes on Iran before July?
0x5b2691a691ece9066c2b855815e6c8784011833b17d85c65976dc7494b18e002,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,2431621.702986,frozen,Will Russia abandon Syrian naval base before April?
0x5d408486e1c3267abf5046064bdf5e496fa709649ea7fdf85a77e8916e5c8c6d,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,550178.475004,frozen,Brewers vs. Mets
0x63547d649b138b651922a2348ed2e182c244acf5a236dfd2873122af60b4d719,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,4384.420224,frozen,Sam Houston State vs. Western Kentucky
0x694f908de10fadb2f28d5ec0f51a99771f7f7e69a03969e3149d573e7d3b90de,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,406674.978862,two_benchmark,Israel strikes Syria by Friday?
0x6ce1ea150658f18f9abedea2d81ae98412ab9632166154608a1dedc5370ecb95,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,43684.580425,two_benchmark,Will a hurricane form by August 31?
0x6da93d357bfd4e8a1eef2aeb306b91d8a39066321df0044a2bc8b3a35c293d46,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,402291.686867,two_benchmark,Dota 2: Team Spirit vs Team Liquid (BO3)
0x75315fb2833d270da22488d9d15803e5ac8d040c241e1553511856d303ca6a59,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,155213.974276,two_benchmark,US strikes Yemen by September 30?
0x770614d3f933027b4240c1a797f9a5431da22745efafe771a796a37038f12d54,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,427207.706767,frozen,Tigers vs. Nationals
0x774d43531d24357fbed733b8a4f9e2369e740243c1acd2b283afd7d854b9eae8,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,,two_benchmark,
0x7904de7850839f1aa01f85aa417c74954b61fe3236dae7cad668b5b46a5b0b7c,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0x79b6f34da0ca495fe7cf85541ec60b62847c204c29624037d6326260d6295956,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,249583.429537,two_benchmark,League of Legends: JD Gaming vs. Weibo Gaming
0x7a414b635dcd7bfcacb7d131a34eb36d8941d1d1a4b4c741eaa19bb9d070eba9,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,4818.700954,two_benchmark,CD Riestra vs. CSyD Defensa y Justicia: O/U 1.5
0x7c0806068244bcb62790485288a20201a2a747e7b0c70ff558364ea0acefbce3,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0x7eca1538c1c071a4652d8d578059115b41c7e004c99d0fe260342509d2e14f02,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,2223.450144,frozen,Jerry Rice Team vs. Louisiana
0x7f34fcac3da47ad9ed0bac852efed1c9c2b45974f7b6ede37d99d6b49e6b1893,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,32806.974983,two_benchmark,Will Israel airdrop aid into Gaza?
0x7f93700465ece7c31020a129ec3a7feb268090000f6f5701b526bde92b22f932,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,29.949672,two_benchmark,North Carolina Central vs. MD Eastern Shore
0x87d44bf8bd7b2cf0a62562c0213e9ef9a7f53214495b1850c412a883369a10cf,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0x8a05f4cc458c938152f6d2d9152cd3358a81f7dea570cbe4a46ad39603f5d34b,1_uncorrected_oracle_error,uncorrected_oracle_error,No,No,Yes,No,No,False,False,False,frozen,252492.688881,frozen,"Will Trump say ""mog"" in 2024?"
0x8fa0822b7b34592f6213111afffe6d2503196afa5a5d47582260e807a81209c1,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,8778.036853,two_benchmark,Cade Cunningham: Points Over 26.5
0x92444f6e5e9b602f31b7ec0557d06cf855975b593bc0285012d762260856096f,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,310401.846632,frozen,Will Han Duck-soo register for presidential run?
0x93a8c72026c81ba646b3d1caea962703df0b2c6defa5f744f63ea77a39bea953,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,504901.726802,two_benchmark,Will xQc beat Forsen's Minecraft speedrun record by January 31?
0x9825975fbc06e47dd0dc52f2bb5065a4ce1abb2471138416765a25df2c25bc61,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,69156.17,frozen,"Will DeSantis mention ""Trump"" during his Twitter Space?"
0x9c3ab864d01f3a5c02d848f26da575eddb01057ed05ce16d709196dca4c7b165,1_uncorrected_oracle_error,uncorrected_oracle_error,No,No,Yes,No,No,False,False,False,frozen,70632.178597,frozen,Kamala positive favorability by Friday?
0x9e7dd4c0e4e5782336fc1f04deaf920fb6363d4f5601d2b3cdd7611be0d98c9f,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,102988.049655,frozen,Diamondbacks vs. Giants
0xa2eee002167fb38b6dea3dbf9c1eeaeb28524de19da03816604bfce03ea7d093,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,,two_benchmark,
0xa4fc5c836451528cdcc71451c0ca71ec071fbec11cfb9e3613ee03394a8ba01d,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0xa9f0d942d022cc686ad3f723a9cd33867564f6ec11a4bcdf07254a953ee8403a,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,298819.084891,two_benchmark,Counter-Strike: Aurora Gaming vs HOTU - Map 2 Winner
0xaa4cfdf34584d2a8d9be9da6ce8c6f8d72bf500013557a137ce479a4b9087ad6,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,50957.540904,two_benchmark,Valorant: JD Gaming vs EDward Gaming (BO3) - VCT China Kickoff Playoffs
0xadcc0cca91d3d27e0dd93a2e01d5d71f0bd0a4369ee40d0aa8a7a4206865e61a,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,1542.815986,two_benchmark,Games Total: O/U 2.5
0xadd5b06f5de1fe76f140bdf002765b456cfcba2f8f80bd9f67289faef8902ceb,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,16895.074111,frozen,"Will Trump say ""Biden"" during his presser with Ireland PM?"
0xb49a784075862f78d2f36f368837b21d224145fa2bdb5d951bbd79e9e64c3324,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,4102.351102,frozen,Will the highest temperature in New York City be between 77-78°F on October 7?
0xb8abf82f7fbcfc94e5573fa9d306e7db52d140fa8c1640bd2d283d06179d19a5,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,6749.224475,frozen,Will the highest temperature in New York City be between 68-69°F on May 31?
0xb95e044737e8d594bedafa5b51d66d14b1ce876a7d9c239372591b4de61f72a8,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,340981.63,frozen,US military intervention by Oct 31?
0xbbeea892dd7c00356a01ad562146236f8e4a48ab4852d119676a41832a9edb9d,1_uncorrected_oracle_error,uncorrected_oracle_error,No,No,Yes,No,No,False,False,False,frozen,1337263.70444,frozen,Will Romania's court annul the presidential election?
0xc41b240acec487a4f815d24e9edab18925e214092b2460ce10cec61e73bf27f1,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,310.348558,two_benchmark,Series: LNG Esports Kill Handicap (-14.5)
0xc607fa86d41d0439359936dda8fa37fa0441acfe8d8dfeac7722657a989e9de6,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,153208.582716,two_benchmark,Will Trump Media buy more Bitcoin in 2025?
0xcb2cfd43b578e4c31b172c4a0eb0e405bce30b2f066af81934b0f9851411185b,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,1637.0,two_benchmark,AHL: Chicago Wolves vs. Manitoba Moose
0xcb702ae6833bc0b90ba931aa25feb4a375fdd109d31e755d679ea09dcff7c554,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,95480.569261,frozen,Ethereum Up or Down on May 1?
0xcff2886996ff46777c7fa973cbc342d746930f960eabcb8a9559bc954c3a7277,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,40.0,two_benchmark,Magic vs. Lakers
0xd1da4b54ef73f6b5b8394cc67cccc482875a612ead41a9b2756458051afb5510,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,2619.928314,two_benchmark,Julius Randle: Assists Over 4.5
0xd653a56ec81b99326f66bd6610574d58aca85d4b261cb155aacbb46c7b3ad470,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,480465.936697,frozen,Another commercial airline evacuation before March?
0xd812281f01c3468a4dde6fe9132e0dbe8ff0bc2cdee7b39247cb983b998b8a22,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,26922.868534,frozen,New York Mets vs. Miami Marlins
0xd999c2b3f40029d3dd0976bbd9739ba8de68b7958a9feffef52168f8a527dda6,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,,two_benchmark,
0xda70529ed93e8e055ce15ef47fba45351ac00a8921d080cf9ddfc67753df1d3e,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,9545.44,frozen,BPL: Durdanto Dhaka vs Rangpur Riders (Game 1) - Most Sixes Rangpur Riders Winner
0xdb212bb7387f64083ccb2520d212591cc3a6c85191607b9ef125b24275631953,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0xdd5494d6d8932839536caed7aeb21e5bb2fb500910b1d0ce43d2a5fec9f546aa,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,462399.69969,frozen,Will Harris publicly support tax on unrealized gains?
0xdee850a01c89e60450007c776cadfc16e0068a863826a36e925a9a21a9ec902c,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,203701.798414,two_benchmark,Will Israel strike Gaza on November 5?
0xe2939133cfe699d4439e712b3c02abde20915f3a6cfb99ed49e2e6ba4baf0219,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,3114.780451,two_benchmark,1H Spread: Spurs (-2.5)
0xe47576cc30385ae7ad18ea59e7b2d9637e8ffcd3edc945439669462bb7fd8f59,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,8804.662856,two_benchmark,Timberwolves vs. Kings: O/U 236.5
0xe76ee12c53bdf34709da8bb84e19030c1282167f52395f58851175e51dc4642a,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0xee660d85e46169924b36293ad747f890545f7cd7fd3073878db9640bb8b28c34,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,13142.387629,two_benchmark,Map Handicap: EF (-1.5)
0xf020738dba678bedae04e8dec109bbaf1a48528af4833736b2f67c3586bf0b58,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,83280.3452,frozen,Will Trump impose tariffs on Colombia in the first 100 days?
0xf1786b52d541bcafed06186aee2dfde04a041d9115a319572548a8696f732d78,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,34129.433695,frozen,Earthquake 7.0 or above in April?
0xf223e6bf8826906c0769726d4fca2d51e2ae6e7c2f09ccc86ff4c0ff9849580f,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,5736.156159,two_benchmark,Aston Villa vs. Manchester City: Both Teams to Score
0xfbafcfaa3f9c6bc7cf6b4bb0b64305f5d3f9ec4bfb7345be0ba3af6623d35c00,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0xfce4c97ffa3433bfd0ef8bbf8dd117fde93eeaaecdfe75a06045fec864307c27,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,63551.913617,frozen,Royals vs. Cardinals
0x0b607047698c485944dccc3eedbe620885808e3bf61a09bf943fcbdf279c0481,2_indeterminate_G_i_fuzzy,indeterminate,Invalid,No,,Invalid,No,False,False,True,uncoded,560448.494069,uncoded,UFC Fight Night: Ortega vs. Sterling
0x33f5bb0b369335cc6823fb98fa358225ca29ad3a8f0f8c8f17cfc98759916fea,2_indeterminate_G_i_fuzzy,indeterminate,Invalid,No,,Invalid,No,False,False,True,uncoded,51998.888258,uncoded,Oilers vs. Canucks
0x3c56b8d7b69bee2c0d9ec5d8a93f632a6f27d147844c8dfa726704e1fbd08d79,2_indeterminate_G_i_fuzzy,indeterminate,Invalid,Yes,,Invalid,Yes,False,False,True,uncoded,12634.135932,uncoded,Will OPEC hike production by next meeting?
0x401aee9ea7974121772dede6975f6ede5ee94a77e3cad9361b3e07a991624914,2_indeterminate_G_i_fuzzy,indeterminate,Invalid,No,,Invalid,No,False,False,True,uncoded,6807.092291,uncoded,Counter-Strike: JiJieHao vs K27 (BO3)
0x4a8fc9d110179f831e74b430a90bee754ccf11f5ebe148f70d92720942962d7d,2_indeterminate_G_i_fuzzy,indeterminate,Invalid,No,,Invalid,No,False,False,True,uncoded,57766.996076,uncoded,Kings vs. Kraken
0x5e9e96cff52012d2bcda62d51a3b42528833161bcc145b543582a5c46335df90,2_indeterminate_G_i_fuzzy,indeterminate,Yes,No,,Yes,No,False,False,False,uncoded,,uncoded,
0x70c31b3f5794bb7ef10cf8a504071826c7303f101a1b3b9f368c4d0f9c6b64d4,2_indeterminate_G_i_fuzzy,indeterminate,Invalid,No,,Invalid,No,False,False,True,uncoded,204009.98,uncoded,Was the shooter a Democrat or Republican?
0x85c1851a0e565acfd919f4e74544a290174b9e8adbfd31ee5d967c27a19ef50e,2_indeterminate_G_i_fuzzy,indeterminate,Yes,No,,Yes,No,False,False,False,uncoded,,uncoded,
0xaee97a6886a2f217c2965e472dd346ae3cd220568b29e6191c4bd9c326a2927b,2_indeterminate_G_i_fuzzy,indeterminate,Invalid,No,,Invalid,No,False,False,True,uncoded,180497.557616,uncoded,Will Trump impose tariffs on France in the first 100 days?
0xb7377f23b40ede315f2c0d83fdecb052e14595e1692fbac554fe0c701d453ebd,2_indeterminate_G_i_fuzzy,indeterminate,Invalid,No,,Invalid,No,False,False,True,uncoded,,uncoded,Games Total: O/U 2.5
0xc804d7b763e92ad979574b9d62c66fd462c0b76d33daafe4f0b3141018fe3c32,2_indeterminate_G_i_fuzzy,indeterminate,No,Yes,,No,Yes,False,False,False,uncoded,,uncoded,
0xdee668a70768d3eb6d200c6986ee6e0531a9fa5720069f542cd86e21fdbc735c,2_indeterminate_G_i_fuzzy,indeterminate,Yes,No,,Yes,No,False,False,False,uncoded,,uncoded,
0x1fb7ed3aafcd80a2112eb687480c4a9bf042dc2d76663dd13785323c8be898bf,3_clarification_resolved,clarification_resolved,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,1385135.509959,two_benchmark,Will Hezbollah disarm in 2025?
0xcfbe2de215f38407317a7ecfff4c13aa591eca2fe428fc203e5669a936009e78,3_clarification_resolved,clarification_resolved,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,103068.66125,two_benchmark,Will Hezbollah disarm by March 31?
0x0a8e705bf44e8650c2441b8aedeca8434370e68a1acb9abe35ebb36c0789b5d5,5_gate_a1_mismatch_only_legacy_says_correct,initially_correct,No,,No,No,No,False,True,True,two_benchmark,,two_benchmark,
0x102d74a578501f0f18efa3bb099b100325cbd64437dd76fd7794f3a3bfb8fcc5,5_gate_a1_mismatch_only_legacy_says_correct,initially_correct,Yes,Invalid,Yes,Yes,Yes,False,True,True,two_benchmark,107.55,two_benchmark,Series: Most nashors?
0x11dc87abced1c7d8f2c153cc3be9aaa74a8622a284edcbf825c0b157b65f1db6,5_gate_a1_mismatch_only_legacy_says_correct,initially_correct,No,,No,No,No,False,True,True,two_benchmark,,two_benchmark,
